id	internal_fact	external_claim	reason_same	reason_not_same	macro_domain	mutation_types	ambiguity_level	ambiguity_subset
1	The company has not entered into a partnership with Tesla.	The company currently has no partnership agreement with Tesla.	Both state there is no Tesla partnership in effect at present.	Internal could be about past action (not entered) while external could allow informal collaboration or talks without an agreement.	business_finance	numerical_rounding_precision	high	high_ambiguity_numbers
2	No layoffs are planned for the upcoming fiscal year.	The company does not expect layoffs in the upcoming fiscal year.	‘Planned’ and ‘does not expect’ both communicate layoffs are not anticipated.	‘Planned’ is a concrete internal plan; ‘does not expect’ is a forecast that could still allow contingency plans.	business_finance	modality_commitment_shift;strength_intensity_shift	high	high_ambiguity_modality
3	Management is reviewing cost structures across departments.	Management is considering cost-saving measures across departments.	Reviewing costs is commonly done to identify cost-saving measures.	A review could be informational only; ‘considering measures’ implies intent to act.	business_finance	near_paraphrase	medium	general
4	The pilot program on Product A ended earlier than initially scheduled.	The Product A pilot concluded ahead of schedule.	Both say the pilot ended earlier than planned.	Internal might mean terminated prematurely (problem); external frames it as smoothly ‘concluded’.	business_finance	modality_commitment_shift	high	high_ambiguity_modality
5	Expansion into Southeast Asia remains under evaluation.	Southeast Asia is being considered as a potential expansion region.	Both describe the same exploration stage for expansion.	‘Under evaluation’ could include a broader strategy review, while ‘being considered’ could imply a lighter, less formal process.	business_finance	threshold_boundary_scope;scope_condition_omission	high	high_ambiguity_scope
6	The board approved a revised 2026 operating plan on 12 Dec 2025.	On 12 Dec 2025, the board signed off on an updated 2026 operating plan.	‘Approved’ and ‘signed off’ are standard equivalents in governance contexts.	‘Revised’ vs ‘updated’ may differ in magnitude; ‘signed off’ could be informal acknowledgment rather than formal approval.	business_finance	modality_commitment_shift	high	high_ambiguity_modality
7	The company will pause hiring for non-critical roles through Q2 2026.	Hiring will be limited to critical roles through Q2 2026.	Both indicate only critical roles will be hired for in that period.	‘Pause’ suggests a hard stop; ‘limited’ suggests some discretion beyond critical roles.	business_finance	temporal_framing_precision	medium	general
8	Customer churn declined from 3.2% to 2.9% in Q4 2025.	Q4 2025 churn fell to 2.9% from 3.2%.	Same numbers and direction; just reordered.	Internal may be net churn; external could be gross churn if not specified in the claim.	business_finance	near_paraphrase	medium	general
9	The company is renegotiating its primary logistics contract effective March 2026.	The company is in talks to update its main logistics contract for March 2026.	Renegotiating and being in talks to update capture the same activity and timing.	‘Renegotiating’ implies active contract terms bargaining; ‘in talks’ could include early discussions without renegotiation.	business_finance	near_paraphrase	medium	general
10	The new pricing policy applies to new customers starting 1 Feb 2026.	Starting 1 Feb 2026, the new pricing policy will affect new customer sign-ups.	Both set the same date and scope (new customers).	Internal could exclude renewals; external could be read as covering any new sign-up events including renewals treated as sign-ups.	business_finance	temporal_framing_precision	medium	general
11	The company received 14 formal bids during the RFP window (1–20 Nov 2025).	The RFP period (1–20 Nov 2025) resulted in 14 bids.	Same count and same RFP period; paraphrase.	‘Formal bids’ is specific; ‘bids’ might include incomplete or non-compliant submissions.	business_finance	temporal_framing_precision	medium	general
12	The merger integration timeline was extended by two weeks due to data migration issues.	Data migration issues pushed the integration timeline back by about two weeks.	Both attribute a ~2-week delay to data migration problems.	‘Extended’ could mean official plan revision; ‘pushed back’ could mean slippage without formal re-baselining; ‘about’ adds uncertainty.	business_finance	modality_commitment_shift;numerical_rounding_precision;temporal_framing_precision;causality_vs_sequence	high	high_ambiguity_modality
13	The company expects 2026 capex to be between $480M and $520M.	2026 capex is projected at roughly $500M.	A midpoint summary (~$500M) reasonably represents the stated range.	A point estimate loses the uncertainty range and could mislead if capex lands at extremes.	business_finance	modality_commitment_shift;numerical_rounding_precision	high	high_ambiguity_modality
14	The sales team expanded coverage to 12 additional cities in Latin America.	The company increased Latin America sales coverage by adding 12 cities.	Both state the same expansion by 12 cities in Latin America.	‘Expanded coverage’ might be partial presence; ‘adding cities’ could imply full local offices or direct operations.	business_finance	temporal_framing_precision	medium	general
15	The company’s largest customer represented 9.8% of revenue in FY2025.	The top customer accounted for about 10% of FY2025 revenue.	Rounding 9.8% to ‘about 10%’ is common and directionally consistent.	‘Largest’ vs ‘top’ is similar, but ‘about 10%’ may obscure a materiality threshold just under 10%.	business_finance	numerical_rounding_precision;threshold_boundary_scope;entity_specificity	high	high_ambiguity_numbers
16	Management said the restructuring will not affect customer-facing support hours.	Management said customer-facing support hours will remain unchanged during the restructuring.	Both assert customer-facing support hours won’t change.	‘Will not affect’ could allow temporary fluctuations; ‘remain unchanged’ implies stricter invariance.	business_finance	temporal_framing_precision	medium	general
17	The company’s net promoter score rose by 4 points after the November release.	After the November release, NPS increased by four points.	Same metric change and same temporal anchor.	Internal might mean a statistically adjusted NPS; external could imply raw NPS without methodology.	business_finance	temporal_framing_precision;causality_vs_sequence;scope_condition_omission	high	high_ambiguity_scope
18	The procurement policy requires two approvals for purchases above CHF 50,000.	Purchases over CHF 50,000 need two approvers under the procurement policy.	Same threshold and same rule; wording differs.	‘Above’ excludes exactly CHF 50,000; ‘over’ may be interpreted the same but could include CHF 50,000 depending on policy language.	business_finance	threshold_boundary_scope	high	high_ambiguity_numbers
19	The company will sunset Product B on 30 Sep 2026.	Product B will be discontinued at the end of September 2026.	Same month and end-of-life concept.	‘30 Sep’ is exact; ‘end of September’ could mean earlier/later operational cutoffs and different time zones.	business_finance	temporal_framing_precision	medium	general
20	The internal audit found three control gaps rated 'medium' severity.	The audit identified three medium-severity control gaps.	Same count and severity category; paraphrase.	‘Internal audit’ vs ‘audit’ could be confused with external audit; rating rubric might differ from plain ‘medium-severity’.	business_finance	near_paraphrase	medium	general
21	The company plans to open one new warehouse in Poland in 2026.	A warehouse expansion in Poland is planned for 2026.	Both indicate a planned warehouse addition in Poland in 2026.	External omits ‘one’ and could imply multiple warehouses or broader expansion beyond a single site.	business_finance	modality_commitment_shift	high	high_ambiguity_modality
22	The marketing campaign will run for 8 weeks starting 15 Jan 2026.	Starting 15 Jan 2026, the campaign is scheduled for an eight-week run.	Same start date and duration.	‘Will run’ suggests confirmed execution; ‘scheduled’ could imply it may still change.	business_finance	modality_commitment_shift;temporal_framing_precision;strength_intensity_shift	high	high_ambiguity_modality
23	The company’s customer satisfaction survey had 1,040 respondents.	The satisfaction survey included about 1,000 respondents.	Rounded respondent count captures the same scale.	Rounding may be misleading for margin-of-error calculations; ‘about 1,000’ could hide whether 1,040 met a sampling threshold.	business_finance	numerical_rounding_precision	high	high_ambiguity_numbers
24	The company’s policy prohibits gifts above CHF 200 from vendors.	Vendor gifts over CHF 200 are not allowed under company policy.	Same threshold and prohibition.	‘Above’ vs ‘over’ and policy exception language may differ; external might ignore approved exceptions.	business_finance	threshold_boundary_scope	high	high_ambiguity_numbers
25	The model achieved 3% higher accuracy on Benchmark X with increased computational cost.	Benchmark X accuracy improved by 3% while compute requirements increased.	Both describe the same accuracy gain and trade-off.	‘Computational cost’ may include training + inference; ‘compute requirements’ might be read as only inference or only training.	technology_rnd	temporal_framing_precision	medium	general
26	The algorithm converged after approximately 1,200 iterations.	Convergence occurred at around 1,200 iterations.	Near-identical numeric claim; simple paraphrase.	‘Approximately’ vs ‘around’ is similar, but ‘converged’ could mean strict threshold, while ‘occurred’ could be loosely defined.	technology_rnd	numerical_rounding_precision;causality_vs_sequence;strength_intensity_shift	high	high_ambiguity_numbers
27	The system maintained uptime above 99.95% over the last 12 months.	Over the last 12 months, uptime did not fall below 99.95%.	Same floor and same period.	Internal may refer to SLA-measured uptime; external might imply observed uptime for all users, including planned maintenance.	technology_rnd	modality_commitment_shift;threshold_boundary_scope;scope_condition_omission	high	high_ambiguity_scope
28	Failure rates declined to 0.6% following the redesign.	After the redesign, failures occurred in 0.6% of cases.	Same rate and causal ordering.	‘Declined to’ implies a before/after comparison; external could be read as only reporting post-redesign rate without confirming decline.	technology_rnd	causality_vs_sequence	high	high_ambiguity_causality
29	Latency decreased from 240 ms to 190 ms after migrating 70% of workloads.	After migrating 70% of workloads, latency fell to 190 ms from 240 ms.	Same before/after metrics and migration fraction.	Could differ on percentile (p50 vs p95) if not stated; also migration may correlate rather than cause.	technology_rnd	causality_vs_sequence;scope_condition_omission	high	high_ambiguity_scope
30	The prototype reduced energy consumption by 18% over six months of testing.	During six months of testing, the prototype lowered energy use by 18%.	Same period and reduction.	‘Energy consumption’ could be total facility energy; ‘energy use’ might be per-unit or per-transaction.	technology_rnd	threshold_boundary_scope;temporal_framing_precision	high	high_ambiguity_numbers
31	The security patch addressed 7 vulnerabilities rated 'high' severity.	Seven high-severity vulnerabilities were remediated in the security patch.	Same count and severity class.	‘Addressed’ could include mitigations or partial fixes; ‘remediated’ implies fully fixed.	technology_rnd	strength_intensity_shift	high	high_ambiguity_strength
32	The new battery chemistry reached 500 charge cycles at 80% capacity retention.	The battery retained 80% capacity after 500 charge cycles.	Same milestone restated.	Internal might be lab conditions; external reads as real-world performance.	technology_rnd	causality_vs_sequence	high	high_ambiguity_causality
33	The firmware update improved Bluetooth stability under heavy interference.	Bluetooth stability improved after the firmware update, especially under interference.	Both report improved stability in interference conditions.	Internal is conditional (‘under heavy interference’); external could be interpreted as broader, general stability.	technology_rnd	threshold_boundary_scope;causality_vs_sequence	high	high_ambiguity_numbers
34	The team froze feature development for Release 3.2 on 10 Jan 2026.	Release 3.2 entered feature-freeze on 10 Jan 2026.	Same milestone and date.	‘Froze feature development’ might allow critical exceptions; ‘entered feature-freeze’ may imply a stricter process gate.	technology_rnd	near_paraphrase	medium	general
